affirm ==================================================

Combinations of 5 Words ------------------------------
in, the, part, of, town: 28
yes, in, the, of, town: 26
yes, in, the, part, of: 24
yes, the, part, of, town: 24
yes, in, the, part, town: 23
yes, in, part, of, town: 23
yes, a, restaurant, in, the: 17
restaurant, in, the, of, town: 17
yes, restaurant, in, the, of: 16
restaurant, in, the, part, of: 16
yes, restaurant, in, the, town: 15
yes, restaurant, in, of, town: 15
yes, restaurant, the, of, town: 15
restaurant, in, the, part, town: 15
restaurant, in, part, of, town: 15
restaurant, the, part, of, town: 15
yes, restaurant, in, the, part: 14
yes, restaurant, in, part, of: 14
yes, restaurant, the, part, of: 14
a, restaurant, in, the, of: 14
a, restaurant, in, the, town: 14
a, restaurant, in, of, town: 14
a, restaurant, the, of, town: 14
a, in, the, of, town: 14
yes, restaurant, in, part, town: 13
yes, restaurant, the, part, town: 13
yes, restaurant, part, of, town: 13
im, looking, for, a, restaurant: 12
yes, a, restaurant, in, of: 12
yes, a, restaurant, in, town: 12
yes, a, restaurant, the, of: 12
yes, a, restaurant, the, town: 12
yes, a, restaurant, of, town: 12
yes, a, in, the, of: 12
yes, a, in, the, town: 12
yes, a, in, of, town: 12
yes, a, the, of, town: 12
a, restaurant, in, the, part: 12
a, restaurant, in, part, of: 12
a, restaurant, in, part, town: 12
a, restaurant, the, part, of: 12
a, restaurant, the, part, town: 12
a, restaurant, part, of, town: 12
a, in, the, part, of: 12
a, in, the, part, town: 12
a, in, part, of, town: 12
a, the, part, of, town: 12
yes, i, restaurant, in, the: 11
yes, im, looking, for, restaurant: 11
yes, i, the, part, of: 11
i, in, the, part, of: 11
i, the, part, of, town: 11
uh, yes, a, restaurant, in: 10
uh, yes, restaurant, in, the: 10
yes, looking, for, a, restaurant: 10
yes, looking, for, restaurant, in: 10
yes, a, restaurant, in, part: 10
yes, a, restaurant, the, part: 10
yes, a, restaurant, part, of: 10
yes, a, restaurant, part, town: 10
yes, a, in, the, part: 10
yes, a, in, part, of: 10
yes, a, in, part, town: 10
yes, a, the, part, of: 10
yes, a, the, part, town: 10
yes, a, part, of, town: 10
yes, i, in, the, part: 10
yes, i, in, the, of: 10
yes, i, in, part, of: 10
yes, i, the, part, town: 10
yes, i, the, of, town: 10
yes, i, part, of, town: 10
i, in, the, part, town: 10
i, in, the, of, town: 10
i, in, part, of, town: 10
yes, restaurant, that, serves, food: 10
uh, a, restaurant, in, the: 9
yes, im, looking, for, a: 9
yes, the, north, part, of: 9
yes, the, north, part, town: 9
yes, the, north, of, town: 9
yes, north, part, of, town: 9
im, looking, for, restaurant, in: 9
im, looking, a, restaurant, in: 9
looking, for, a, restaurant, in: 9
looking, for, restaurant, in, the: 9
the, north, part, of, town: 9
yes, i, in, the, town: 9
yes, i, in, part, town: 9
yes, i, in, of, town: 9
i, restaurant, in, the, part: 9
i, restaurant, in, the, of: 9
i, restaurant, in, part, of: 9
i, restaurant, the, part, of: 9
uh, yes, restaurant, that, serves: 9
yes, im, looking, for, food: 9
uh, yes, a, restaurant, the: 8
uh, yes, a, in, the: 8
uh, i, restaurant, in, the: 8
i, a, restaurant, in, the: 8
yes, im, looking, for, in: 8
yes, im, looking, a, restaurant: 8
yes, im, looking, restaurant, in: 8
yes, im, for, a, restaurant: 8
yes, im, for, restaurant, in: 8
yes, looking, for, a, in: 8
yes, looking, for, restaurant, the: 8
yes, looking, for, in, the: 8
yes, looking, a, restaurant, in: 8
yes, looking, restaurant, in, the: 8
yes, for, a, restaurant, in: 8
yes, for, restaurant, in, the: 8
