confirm ==================================================

Combinations of 5 Words ------------------------------
is, in, the, of, town: 28
is, the, part, of, town: 22
is, it, in, the, of: 22
is, it, the, of, town: 22
is, it, in, the, town: 21
is, it, in, of, town: 21
it, in, the, of, town: 21
is, in, the, part, of: 18
is, in, the, part, town: 17
is, in, part, of, town: 17
in, the, part, of, town: 17
is, it, the, part, of: 15
is, it, in, the, part: 14
is, it, in, part, of: 14
is, it, the, part, town: 14
is, it, part, of, town: 14
it, in, the, part, of: 14
it, the, part, of, town: 14
is, it, in, part, town: 13
it, in, the, part, town: 13
it, in, part, of, town: 13
is, the, north, part, of: 11
is, the, north, of, town: 11
is, north, part, of, town: 11
the, north, part, of, town: 11
is, the, north, part, town: 10
is, in, the, north, of: 9
is, in, the, north, part: 8
is, in, the, north, town: 8
is, in, north, part, of: 8
is, in, north, of, town: 8
in, the, north, part, of: 8
in, the, north, of, town: 8
is, it, in, the, center: 8
is, in, north, part, town: 7
in, the, north, part, town: 7
in, north, part, of, town: 7
is, that, part, of, town: 6
that, the, part, of, town: 6
that, north, part, of, town: 6
is, it, in, the, north: 6
is, it, in, north, of: 6
is, it, the, north, of: 6
it, in, the, north, of: 6
is, in, the, center, of: 6
is, in, the, center, town: 6
is, in, center, of, town: 6
is, the, center, of, town: 6
in, the, center, of, town: 6
is, in, the, west, of: 6
is, in, the, west, town: 6
is, in, west, of, town: 6
is, the, west, of, town: 6
in, the, west, of, town: 6
is, the, south, part, of: 6
is, the, south, part, town: 6
is, the, south, of, town: 6
is, south, part, of, town: 6
the, south, part, of, town: 6
is, that, the, part, of: 5
is, that, the, part, town: 5
is, that, the, of, town: 5
is, that, north, part, of: 5
is, that, north, part, town: 5
is, that, north, of, town: 5
that, the, north, part, of: 5
that, the, north, part, town: 5
that, the, north, of, town: 5
is, it, in, north, part: 5
is, it, in, north, town: 5
is, it, the, north, part: 5
is, it, the, north, town: 5
is, it, north, part, of: 5
is, it, north, of, town: 5
it, in, the, north, part: 5
it, in, the, north, town: 5
it, in, north, part, of: 5
it, in, north, of, town: 5
it, the, north, part, of: 5
it, the, north, of, town: 5
is, it, in, center, of: 5
is, it, in, center, town: 5
is, it, the, center, of: 5
is, it, the, center, town: 5
is, it, center, of, town: 5
it, in, the, center, of: 5
it, in, the, center, town: 5
it, in, center, of, town: 5
it, the, center, of, town: 5
is, in, the, south, part: 5
is, in, the, south, of: 5
is, in, the, south, town: 5
is, in, south, part, of: 5
is, in, south, part, town: 5
is, in, south, of, town: 5
in, the, south, part, of: 5
in, the, south, part, town: 5
in, the, south, of, town: 5
in, south, part, of, town: 5
is, there, a, restaurant, in: 5
is, there, a, restaurant, the: 5
is, there, a, restaurant, of: 5
is, there, a, restaurant, town: 5
is, there, a, in, the: 5
is, there, a, in, of: 5
is, there, a, in, town: 5
is, there, a, the, of: 5
is, there, a, the, town: 5
is, there, a, of, town: 5
is, there, restaurant, in, the: 5
is, there, restaurant, in, of: 5
is, there, restaurant, in, town: 5
is, there, restaurant, the, of: 5
is, there, restaurant, the, town: 5
is, there, restaurant, of, town: 5
is, there, in, the, of: 5
is, there, in, the, town: 5
is, there, in, of, town: 5
is, there, the, of, town: 5
is, a, restaurant, in, the: 5
is, a, restaurant, in, of: 5
is, a, restaurant, in, town: 5
is, a, restaurant, the, of: 5
is, a, restaurant, the, town: 5
is, a, restaurant, of, town: 5
is, a, in, the, of: 5
is, a, in, the, town: 5
is, a, in, of, town: 5
is, a, the, of, town: 5
is, restaurant, in, the, of: 5
is, restaurant, in, the, town: 5
is, restaurant, in, of, town: 5
is, restaurant, the, of, town: 5
there, a, restaurant, in, the: 5
there, a, restaurant, in, of: 5
there, a, restaurant, in, town: 5
there, a, restaurant, the, of: 5
there, a, restaurant, the, town: 5
there, a, restaurant, of, town: 5
there, a, in, the, of: 5
there, a, in, the, town: 5
there, a, in, of, town: 5
there, a, the, of, town: 5
there, restaurant, in, the, of: 5
there, restaurant, in, the, town: 5
there, restaurant, in, of, town: 5
there, restaurant, the, of, town: 5
there, in, the, of, town: 5
a, restaurant, in, the, of: 5
a, restaurant, in, the, town: 5
a, restaurant, in, of, town: 5
a, restaurant, the, of, town: 5
a, in, the, of, town: 5
restaurant, in, the, of, town: 5
is, that, the, north, part: 4
is, that, the, north, of: 4
is, that, the, north, town: 4
does, it, serve, canapes, food: 4
is, it, north, part, town: 4
it, in, north, part, town: 4
it, the, north, part, town: 4
it, north, part, of, town: 4
is, it, in, the, west: 4
is, it, in, west, part: 4
is, it, in, west, of: 4
is, it, in, west, town: 4
is, it, the, west, part: 4
is, it, the, west, of: 4
is, it, the, west, town: 4
is, it, west, part, of: 4
is, it, west, part, town: 4
is, it, west, of, town: 4
is, in, the, west, part: 4
is, in, west, part, of: 4
is, in, west, part, town: 4
is, the, west, part, of: 4
is, the, west, part, town: 4
is, west, part, of, town: 4
it, in, the, west, part: 4
it, in, the, west, of: 4
it, in, the, west, town: 4
it, in, west, part, of: 4
it, in, west, part, town: 4
it, in, west, of, town: 4
it, the, west, part, of: 4
it, the, west, part, town: 4
it, the, west, of, town: 4
it, west, part, of, town: 4
in, the, west, part, of: 4
in, the, west, part, town: 4
in, west, part, of, town: 4
the, west, part, of, town: 4
is, it, in, the, south: 4
is, it, in, south, part: 4
is, it, in, south, of: 4
is, it, in, south, town: 4
is, it, the, south, part: 4
is, it, the, south, of: 4
is, it, the, south, town: 4
is, it, south, part, of: 4
is, it, south, part, town: 4
is, it, south, of, town: 4
it, in, the, south, part: 4
it, in, the, south, of: 4
it, in, the, south, town: 4
it, in, south, part, of: 4
it, in, south, part, town: 4
it, in, south, of, town: 4
it, the, south, part, of: 4
it, the, south, part, town: 4
it, the, south, of, town: 4
it, south, part, of, town: 4
does, it, serve, thai, food: 3
is, there, a, that, food: 3
okay, is, in, the, of: 3
okay, is, in, the, town: 3
okay, is, in, of, town: 3
okay, is, the, of, town: 3
okay, in, the, of, town: 3
is, it, the, east, of: 3
is, it, the, east, town: 3
is, it, east, of, town: 3
is, the, east, of, town: 3
it, the, east, of, town: 3
is, it, in, the, price: 3
is, it, in, the, range: 3
is, it, in, price, range: 3
is, it, the, price, range: 3
is, in, the, price, range: 3
it, in, the, price, range: 3
does, it, serve, chinese, food: 3
does, it, serve, type, food: 3
does, it, serve, fusion, food: 2
is, that, in, the, north: 2
is, that, in, the, part: 2
is, that, in, the, of: 2
is, that, in, the, town: 2
is, that, in, north, part: 2
is, that, in, north, of: 2
is, that, in, north, town: 2
is, that, in, part, of: 2
is, that, in, part, town: 2
is, that, in, of, town: 2
that, in, the, north, part: 2
that, in, the, north, of: 2
that, in, the, north, town: 2
that, in, the, part, of: 2
that, in, the, part, town: 2
that, in, the, of, town: 2
that, in, north, part, of: 2
that, in, north, part, town: 2
that, in, north, of, town: 2
that, in, part, of, town: 2
does, it, serve, kitalian, food: 2
is, there, a, restaurant, that: 2
is, there, a, restaurant, serves: 2
is, there, a, restaurant, food: 2
is, there, a, that, serves: 2
is, there, a, that, vietnamese: 2
is, there, a, serves, food: 2
is, there, a, vietnamese, food: 2
is, there, restaurant, that, serves: 2
is, there, restaurant, that, food: 2
is, there, restaurant, serves, food: 2
is, there, that, serves, food: 2
is, there, that, vietnamese, food: 2
is, a, restaurant, that, serves: 2
is, a, restaurant, that, food: 2
is, a, restaurant, serves, food: 2
is, a, that, serves, food: 2
is, a, that, vietnamese, food: 2
is, restaurant, that, serves, food: 2
there, a, restaurant, that, serves: 2
there, a, restaurant, that, food: 2
there, a, restaurant, serves, food: 2
there, a, that, serves, food: 2
there, a, that, vietnamese, food: 2
there, restaurant, that, serves, food: 2
a, restaurant, that, serves, food: 2
does, it, serve, spanish, food: 2
does, it, serve, african, food: 2
okay, is, it, in, the: 2
okay, is, it, in, of: 2
okay, is, it, in, town: 2
okay, is, it, the, of: 2
okay, is, it, the, town: 2
