utterance,act
im looking for a moderately priced restaurant that serves,inform
any part of town,inform
bistro food,inform
is there a moderately priced restaurant that serves british food,confirm
yes,affirm
could i get their phone number,request
thank you good bye,thankyou
moderately priced restaurant in the south part of town,inform
any,inform
address,request
code,no_act
postcode,request
postcode,request
thank you goodbye,thankyou
cheap,inform
any,inform
mediterranean,inform
phone number,request
phone,request
address,request
phone number,request
goodbye,bye
im looking for a restaurant that serves seafood,inform
any,inform
seafood,inform
can i get the address and phone number,request
thank you goodbye,thankyou
hello welcome to the cambridge system,no_act
east,inform
expensive,inform
any type,inform
is there anything else,reqalts
could i have their phone number and the type of food,request
type of food,request
thank you good bye,thankyou
expensive restaurant,inform
north,inform
yes,affirm
fusion food,inform
asian oriental,inform
whats the phone number,request
thank you good bye,thankyou
restaurant in the north part of town serv,inform
scottish,inform
scottish,inform
how about french food,reqalts
phone number,request
phone number,request
thank you good bye,thankyou
i need a restaurant in the north,inform
part of town that serves chinese food,inform
um,no_act
cheap price range,inform
i need one in the cheap price range,inform
well can i get the address and the post code,request
okay,no_act
okay thank you good bye,thankyou
im looking for am expensive restaurant in the south part,inform
uh it doesnt matter,inform
hindi food is okay,inform
doesnt matter,inform
no im sorry it should be expensive,negate
is the anything else,reqalts
you said expensive,inform
its expensive,inform
can i have the address and phone number,request
what is the post code,request
thank you good bye,thankyou
noise,no_act
im looking,no_act
im looking,no_act
looking for a moderately priced restaurant in the east part of town,inform
it doesnt matter,inform
is there anything else,reqalts
phone number,request
thank you good bye,thankyou
sil,no_act
im looking for a cheap restaurant in the east part of town,inform
what type of food,request
what is the address,request
thank you good bye,thankyou
expensive,inform
east,inform
any,inform
food,inform
type of food,request
address,request
phone number,request
type of food served,request
thank you,thankyou
good bye,bye
a cheap mexican restaurant,inform
how about a cheap asian oriental restaurant,reqalts
asian oriental,inform
uh whats the phone number and address please,request
thank you good bye,thankyou
cheap restaurant,inform
in the east part of town,inform
phone number,request
phone number,request
address,request
thank you good bye,thankyou
i need a restaurant in the west part of town that serves europ,inform
european,inform
could i have the phone number please,request
thank you good bye,thankyou
i need a restaurant serving crossover food in the west part of town,inform
how about vietnamese,reqalts
what about vietnamese,inform
vietnamese food,inform
yes,affirm
whats the phone number,request
thank you good bye,thankyou
im looking for a restaurant in the center serving greek food,inform
how about french food,reqalts
is it serving french food,confirm
what is the price range,request
what is the address and phone number,request
whats the phone number,request
thank you good bye,thankyou
im looking for a cheap restaurant,inform
south,inform
i dont care,inform
do you have the address,request
phone number,request
its a type of food,request
thank you good bye,thankyou
english food center part of town,inform
yes,affirm
british food,inform
dont care,inform
what is the address and phone number,request
thank you good bye,thankyou
thai food,inform
any,inform
thai,inform
address,request
thank you goodbye,thankyou
uh expensive restaurant in the south,inform
yes,affirm
i dont care,inform
dont care,inform
expensive,inform
what is the address and phone number,request
address,request
thank you good bye,thankyou
im looking for corsica food,inform
im looking for gastropub food,inform
i am looking for gastropub food,inform
no im looking for gastropub food,negate
i am looking for gastropub food,inform
gastropub food,inform
care,no_act
dont care,inform
dont care,inform
what is the address and phone number,request
what is the post code,request
thank you good bye,thankyou
european restaurant,inform
any part,inform
any,inform
yes,affirm
any more,reqalts
address,request
phone number,request
thank you good bye,thankyou
cough,no_act
christmas food,inform
cough,no_act
indian food,inform
cough,no_act
cheap,inform
cheap,inform
cough,no_act
cheap price range,inform
address,request
thank you goodbye,thankyou
moderate price in south,inform
south,inform
the south,inform
south,inform
any,inform
anything else,reqalts
south,inform
west,inform
west,inform
dont care,inform
east,inform
south,inform
in the south,inform
anything else,reqalts
address,request
phone number,request
thank you goodbye,thankyou
expensive restaurant,inform
any,inform
european food,inform
address,request
phone number,request
thank you good bye,thankyou
im looking for a moderately priced restaurant that serves turkish food,inform
can i get the address,request
thank you good bye,thankyou
mexican food,inform
whats the address,request
whats the phone number,request
thank you good bye,thankyou
i want to find a restaurant in the south part of town,inform
polynesian food,inform
how about portuguese,reqalts
how about portuguese food,reqalts
may i have the phone number and address,request
thank you good bye,thankyou
unintelligible,no_act
unintelligible,no_act
unintelligible,no_act
im looking for venison food cross talk,inform
cross talk how about gastro pub,reqalts
yes,affirm
how about gastro pub,reqalts
how about gastro pub type of food,inform
whats the address,request
and the phone number,request
and the post code,request
what type of food is this,request
thank you good bye,thankyou
im looking for a japanese restaurant in the east part,inform
im looking for an indian restaurant in the,inform
yes,affirm
i dont care,inform
what is the address and phone number,request
thank you good bye,thankyou
iam looking for a restaurant in the center,inform
serve kosher food,inform
yes,affirm
how about italian food,reqalts
im looking for a restaurant serving,inform
okay how about italian food,reqalts
yes,affirm
yes,affirm
any price range,inform
what is the phone number,request
thank you good bye,thankyou
venetian food,inform
asian oriental food,inform
asian oriental,inform
any area,inform
food,inform
cough,no_act
may i,no_act
may i have the phone number and address,request
thank you good bye,thankyou
i want to find moderately priced restaurant it should be,inform
east part of town,inform
i dont care,inform
can i get the phone number,request
thank you goodbye,thankyou
noise,no_act
the west part of town id like a cheap restaurant,inform
any kind of food,inform
are there any other cheap restaurants in the west part of town,reqalts
is there another restaurant in the west of town,reqalts
can i get their address,request
and what kind of food do they have,request
thank you good bye,thankyou
unintelligible,no_act
unintelligible,no_act
tv_noise im looking for an expensive restaurant and it should serve tuscan food,inform
tv_noise any,inform
tv_noise any,inform
i dont care,inform
can i get tuscan foo,inform
sil,no_act
i dont care tv_noise,inform
tv_noise im looking for tuscan food,inform
tuscan food,inform
tv_noise no,negate
i dont care,inform
no dont care,negate
dont care,inform
tuscan food,inform
noise how bout thai,inform
tv_noise,no_act
that food tv_noise,inform
tv_noise,no_act
can i get the address tv_noise,request
tv_noise,no_act
phone number tv_noise,request
tv_noise,no_act
tv_noise,no_act
phone number tv_noise,request
tv_noise,no_act
tv_noise thank you goodbye,thankyou
i want a restaurant in the unintelligible that serves belgium food,inform
how about korean food,reqalts
korean,inform
is it in the center,confirm
what is the address,request
what is the phone number,request
noise,no_act
good bye,bye
im looking for a cheap restaurant in the west part of,inform
doesnt matter,inform
phone number,request
thank you good bye,thankyou
restaurant,inform
center,inform
spanish food,inform
cheap,inform
anything else,reqalts
address,request
phone number,request
thank you good bye,thankyou
im moderate priced restaurant in the north part of town,inform
any,inform
anything else,reqalts
address and phone number,request
good bye,bye
portuguese food,inform
portuguese food,inform
yes,affirm
is there anything else,reqalts
anything else,reqalts
phone number,request
area,request
phone number,request
thank you good bye,thankyou
i want an expensive restaurant in the east part of town,inform
it doesnt matter,inform
um what,no_act
and what type of whats the phone number,request
and what type of food does it serve,request
thank you good bye,thankyou
im looking for a restaurant in the north,inform
any kind of food,inform
may i have the address please,request
thank you good bye,thankyou
breath id like to find a moderately priced restaurant in the west part of,inform
i dont care,inform
what is the address,request
what type of food,request
thank you goodbye,thankyou
im looking for a moderately priced restaurant in the south,inform
i dont care,inform
what is the phone number,request
what is the type of food,request
thank you good bye,thankyou
im looking for an moderately restaurant and it should be in the south part of town,inform
any,inform
whats the address,request
thank you good bye,thankyou
danish food in the south part of town,inform
may i have a phone number and postcode,request
may i have the postcode,request
thank you goodbye,thankyou
im looking for a restaurant that serves european food,inform
i dont care,inform
i dont care,inform
is there anything else,reqalts
whats the address phone number and area,request
and what area,request
thank you good bye,thankyou
sil,no_act
sil,no_act
sil,no_act
cheap restaurant north part of town,inform
cheap,inform
sil,no_act
sil,no_act
sil,no_act
thank you,thankyou
thank you,thankyou
bye,bye
thank you bye thank you bye,thankyou
um want to find a moderately priced restaurant in the,inform
any type is fine,inform
what is the phone number and address,request
what is the address,request
thank you good bye,thankyou
im looking for a restaurant that serves world food,inform
how about thai food,reqalts
i dont care about the price range what about thai food,inform
thai food,inform
i dont care,inform
what is the address,request
what is the phone number,request
thank you good bye,thankyou
is there anything serving international food,reqalts
the south part,inform
how about in the center,reqalts
where is it located,request
what part of town is it located,request
whats its price range,request
could i have its phone number,request
thank you very much good bye,thankyou
im looking for an expensive restaurant in the south part of town,inform
i dont care,inform
is there anything else,reqalts
can i have the phone number,request
address,request
post code,request
thank you good bye,thankyou
im looking for vegetarian food on the east part of town,inform
what about indian food,reqalts
what about indian food,reqalts
im looking for indian food,inform
it doesnt matter,inform
right,affirm
whats the address,request
and the phone number,request
thank you good bye,thankyou
im looking for a restaurant in the south part of town,inform
moderately priced,inform
doesnt matter,inform
yes,affirm
is there anything else,reqalts
address,request
phone number,request
thank you good bye,thankyou
im looking for a restaurant in the center,inform
creative food,inform
what about international type food,inform
um how about a restaurant in the center with int,reqalts
international food,inform
anything else,reqalts
the phone number,request
the phone number for bloomsbury,request
and the price range,request
thank you good bye,thankyou
looking for a restaurant in west part of town serving cantonese,inform
yes,affirm
italian food,inform
moderate,inform
phone number,request
what is the phone number,request
thank you good bye,thankyou
i want a polynesian restaurant in the north part of town,inform
yes,affirm
how about indian food,reqalts
can i have their address please,request
and the phone number,request
whats the price range,request
thank you good bye,thankyou
can i have an,no_act
restaurant serving english food,inform
uh what about modern european,inform
what about modern european food,inform
okay what about modern european food,reqalts
right,affirm
can i have the phone number,request
thank you good bye,thankyou
hi im looking for a restaurant in the,hello
north,inform
christmas food,inform
how about asian oriental type of food,reqalts
is there a restaurant,reqalts
im looking for a restaurant,inform
in the north part of town,inform
asian oriental,inform
what is the address,request
what is the phone number,request
thank you good bye,thankyou
im looking for an expensive restaurant that serves european,inform
any part of town,inform
phone number,request
what is the phone number,request
and the area,request
thank you good bye,thankyou
uh yes i want to find a restaurant in the north part of town that serves,affirm
uh the north,inform
mediterranean food,inform
okay how about any area,reqalts
okay how about any part of town,reqalts
okay and uh can i get the address,request
okay and whats the post code,request
okay and uh the phone number,request
okay thank you and good bye,bye
im looking for a cheap restaurant in the south part of town,inform
any kind,inform
the address,request
and the post code,request
thank you good bye,thankyou
im looking for an expensive restaurant in the south part of town,inform
it doesnt matter,inform
whats the address,request
whats the phone number,request
thank you good bye,thankyou
looking for something moderately priced on the north side of town,inform
yes,affirm
i dont care,inform
uh whats the address,request
what about the phone number,request
thank you good bye,thankyou
yes hi im looking for a restaurant in the north,affirm
cantonese food,inform
how about asian oriental food,reqalts
i want the address and ph,request
and the phone number,request
thank you good bye,thankyou
im looking for a restaurant in the south part of town that,inform
mexican food,inform
whats the address,request
the phone number,request
and the post code,request
thank you good bye,thankyou
i want chinese food,inform
yes in the south of town,affirm
cheap,inform
what is the phone number,request
unintelligible,no_act
thank you good bye,thankyou
cheap restaurant,inform
i dont care,inform
and asian,inform
pan asian,inform
may i have the address,request
thank you good bye,thankyou
food,inform
any type,inform
any part,inform
yes,affirm
french,inform
yes,affirm
address,request
price range,request
so i dont care whats the address,inform
what area of town is it,request
alright thank you good bye,bye
noise,no_act
south part of town,inform
yes,affirm
any expensive,inform
yes expensive,affirm
address phone number post code,request
phone number,request
post code,request
thank you good bye,thankyou
id like a restaurant in the north part of town that serves tur,inform
turkish,inform
how about in any area,reqalts
how about rest of town,reqalts
could i have the area please,request
thank you good bye,thankyou
im looking for a moderately priced restaurant in the south part of town,inform
i dont care,inform
what type of food,request
whats the address,request
thank you good bye,thankyou
south,inform
south,inform
south,inform
yes,affirm
basque food,inform
indian food,inform
phone number,request
phone number,request
thank you good bye,thankyou
restaurant in the north part of town that serves,inform
british food,inform
how about indian food,reqalts
yes,affirm
um hm,no_act
north,inform
dont care,inform
address phone number and price range,request
address,request
phone number,request
price range,request
thank you good bye,thankyou
south,inform
south,inform
yes,affirm
traditional,inform
italian,inform
italian,inform
yes,affirm
dont care,inform
dont care,inform
phone number,request
phone number,request
post code,request
thank you goodbye,thankyou
im looking for a moderately priced rest,inform
any part of town,inform
brazilian,inform
what about gastropub type of foo,reqalts
what about gasper gastropub type o,reqalts
kay can i have the address phone number and the area,request
was that in the east part of town west part of town,inform
thank you goodbye,thankyou
im looking for international food,inform
it doesnt matter,inform
i dont care about the price range,inform
what is the address,request
thank you good bye,thankyou
moderately priced in the west part of town,inform
any,inform
what type of food,request
what is the address,request
thank you good bye,thankyou
looking for a cheap restaurant serving portuguese food,inform
i dont care,inform
whats the phone number,request
what area is it in,request
thank you good bye,thankyou
north part of town serving canapes food,inform
yes,affirm
indian food,inform
i dont care,inform
what is the address,request
what is the phone number,request
what is the price range,request
thank you good bye,thankyou
sil,no_act
im looking for an expensive restaurant that serves basque food,inform
yes,affirm
how about korean food,reqalts
korean food,inform
what is the address,request
and the area,request
thank you good bye,thankyou
i want a restaurant in the north part of town that serves kosher,inform
does it serve kosher food,confirm
what is the address,request
what is the phone number,request
what is the price range,request
thank you good bye,thankyou
restaurant in the west part of town serving moroccan food,inform
moroccan,inform
what type of food,request
how about moroccan food,reqalts
how about moroccan food,reqalts
how about moroccan food,reqalts
moroccan food,inform
how about indian food,reqalts
how about indian food,reqalts
what is the address and phone number,request
thank you good bye,thankyou
okay let me try this again,repeat
im looking for a restaurant that serves romanian food,inform
okay how about,no_act
place that serves portuguese food,inform
how about a place that serves portuguese food,reqalts
yes,affirm
whats the address to that please,request
thank you good bye,thankyou
im looking for a restaurant in the south,inform
uh the south,inform
greek food,inform
how about chinese food,reqalts
what about chinese,reqalts
yes,affirm
yes,affirm
is doesnt matter,inform
can i have the address,request
thank you good bye,thankyou
can i have a cheap restaurant in the south part of town,inform
any kind of food,inform
what is the address,request
thank you good bye,thankyou
yea im looking for a restaurant that serves basque food,inform
what about indian,reqalts
how about indian food,reqalts
correct,affirm
the west,inform
okay whats the phone number,request
whats the address,request
thank you good bye,thankyou
can i get a restaurant in the east part of town that serves italian food,inform
can i get the address,request
can i get the phone number,request
and the post code,request
thank you good bye,thankyou
moderate restaurant seafood,inform
yes,affirm
noise,no_act
child,no_act
chinese food,inform
yes,affirm
phone number,request
phone number,request
thank you good bye,thankyou
sil,no_act
east,inform
the east,inform
moderately priced,inform
is there anything else,reqalts
what type of food,request
phone number,request
phone number,request
what is the phone number,request
thank you good bye,thankyou
uh im looking for a cheap restaurant in the south part of town,inform
any type of food,inform
are there any other restaurants,reqalts
can i get the address and phone number please,request
thank you good bye,thankyou
im looking for restaurants in the east part of town,inform
east,inform
west,inform
noise,no_act
how about chinese,reqalts
chinese,inform
thank you can i have the address phone number,request
and the postal code,request
what about the address,request
can you give me the phone number,request
thank you good bye,thankyou
i want to find an expensive restaurant that serves hungarian food,inform
i dont care,inform
hungarian,inform
no,negate
im looking for,inform
im looking for,inform
does it serve hungarian food,confirm
im looking for an expensive restaurant that serves hungarian,inform
does it serve hungarian food,confirm
how about british food,reqalts
i want to find an expensive restaurant that,inform
british food,inform
what is the pri what is the telephone number,request
thank you good bye,thankyou
im looking for a restaurant in the center,inform
mediterranean food,inform
could i have the address and phone number,request
could i have the phone number,request
thank you good bye,thankyou
moderate restaurant in the south part of town,inform
any,inform
yes,affirm
uh price range,request
i need a moderately priced restaurant,inform
okay phone number,request
can i get the address,request
unintelligible,no_act
can i get a moderate restaurant in the south part of town,inform
i dont care,inform
can i get the phone number,request
thank you goodbye,thankyou
can i get,no_act
i dont care,inform
vegetarian,inform
how about european,reqalts
i dont care,inform
can i get the address,request
and the phone number,request
thank you good bye,thankyou
cheap,inform
indian,inform
address,request
address,request
phone number,request
thank you good bye,thankyou
expensive restaurant,inform
anywhere,inform
yes,affirm
corsica,inform
asian oriental,inform
asian oriental,inform
yes,affirm
phone number,request
what is the phone number,request
what is the area,request
thank you goodbye,thankyou
im looking for a cheap restaurant serving kosher food,inform
what about chinese food,reqalts
how about chinese food,reqalts
what is the address and phone number,request
thank you goodbye,thankyou
i want to find a moderately priced restaurant and it should serve,inform
any,inform
turkish food,inform
whats the address,request
and the post code,request
thank you good bye,thankyou
id like a austrian restaurant in the south part of town,inform
how about indian food,reqalts
how about indian food,reqalts
what is the phone number,request
thank you good bye,thankyou
moderately priced,inform
south,inform
yes,affirm
any kind,inform
phone number,request
address,request
good bye,bye
can i find a restaurant in the south that is moderately priced,inform
any food,inform
can i have the phone number,request
thank you good bye,thankyou
im looking for a cheap restaurant in the west part of town,inform
mediterranean,inform
american,inform
italian,inform
address,request
address,request
thank you good bye,thankyou
indonesian food,inform
itailian,inform
italian,inform
north,inform
no,negate
thank you,thankyou
thank you,thankyou
i dont care,inform
yes,affirm
no,negate
dont care,inform
italian food,inform
dont care,inform
thank you,thankyou
i dont care,inform
worthless system,no_act
yes,affirm
no,negate
i do not care,inform
dont care,inform
thank you good bye,thankyou
moderately priced restaurant halal food,inform
doesnt matter,inform
yes,affirm
halal,inform
again please,repeat
may i have the address and post code,request
again please,repeat
address,request
postal code,request
post code,request
thank,thankyou
again,repeat
repeat,repeat
re,no_act
address,request
repeat,repeat
address,request
address,request
fen ditton,no_act
post code,request
thank,thankyou
address,request
address,request
post code,request
thank you good bye,thankyou
thank you good bye,thankyou
im looking for a restaurant in the north part of town that serves,inform
greek,inform
how about indians,reqalts
could i have the address phone number and,request
whats the price range again,request
thank you good bye,thankyou
looking for a moderately priced restaurant in the east part of town,inform
i dont care,inform
whats the address,request
and the phone number,request
what type of food does it serve,request
thank you,thankyou
im looking for a cheap restaurant in the north part of town,inform
any,inform
kind i have the address,request
phone number,request
thank you good bye,thankyou
