restaurantname,pricerange,area,food,phone,addr,postcode,quality,crowdedness,lengthofstay
saint johns chop house,moderate,west,british,01223 353110,21 - 24 northampton street,c.b 3,terrible,airy,average
restaurant alimentum,moderate,north,modern european,01223 413000,152 - 154 hills road,c.b 2,good,busy,short
pizza hut cherry hinton,moderate,south,italian,01223 323737,g4 cambridge leisure park clifton way cherry hinton,c.b 1,good,quiet,average
the gardenia,moderate,west,romanian,01223 356354,2 rose crescent city centre,c.b 2,okay,busy,long
loch fyne,moderate,centre,seafood,01223 362433,the little rose 37 trumpington street,c.b 2,terrible,quiet,average
yu garden,expensive,east,chinese,01223 248882,529 newmarket road fen ditton,c.b 5,excellent,busy,long
sitar tandoori,expensive,east,steakhouse,01223 249955,43 high street cherry hinton cherry hinton,c.b 1,okay,airy,average
saigon city,expensive,north,asian oriental,01223 356555,169 high street chesterton chesterton,c.b 4,bad,busy,short
restaurant two two,expensive,north,french,01223 351880,22 chesterton road chesterton,c.b 4,bad,airy,long
the hotpot,expensive,north,chinese,01223 366552,66 chesterton road chesterton,c.b 4,good,quiet,short
nandos,cheap,south,portuguese,01223 327908,cambridge leisure park clifton way,c.b 1,bad,busy,long
peking restaurant,expensive,south,chinese,01223 354755,10 homerton street city centre,c.b 2,bad,quiet,short
rajmahal,moderate,east,saudi,01223 244955,7 barnwell road fen ditton,c.b 5,excellent,busy,average
pizza hut fen ditton,moderate,east,italian,01223 323737,cambridge retail park newmarket road fen ditton,c.b 5,good,busy,long
the missing sock,cheap,south,chinese,01223 812660,finders corner newmarket road,c.b 25,okay,airy,average
royal standard,expensive,east,spanish,01223 247877,290 mill road city centre,c.b 1,bad,quiet,long
grafton hotel restaurant,expensive,east,british,01223 241387,grafton hotel 619 newmarket road fen ditton,c.b 5,good,busy,average
dojo noodle bar,expensive,centre,asian oriental,01223 363471,40210 millers yard city centre,c.b 2,good,busy,average
cambridge lodge restaurant,expensive,west,european,01223 355166,cambridge lodge hotel 139 huntingdon road city centre,c.b 3,excellent,airy,short
thanh binh,cheap,south,vietnamese,01223 362456,17 magdalene street city centre,c.b 3,excellent,busy,average
stazione restaurant and coffee bar,expensive,centre,korean,01223 352607,market hill city centre,,okay,airy,short
cote,expensive,centre,french,01223 311053,bridge street city centre,c.b 2,okay,quiet,short
cotto,expensive,centre,greek,01223 302010,183 east road city centre,c.b 1,excellent,airy,long
bangkok city,expensive,centre,thai,01223 354382,24 green street city centre,c.b 2,good,airy,long
frankie and bennys,expensive,south,italian,01223 412430,cambridge leisure park clifton way cherry hinton,c.b 1,bad,busy,average
the cow pizza kitchen and bar,moderate,centre,moroccan,01223 308871,corn exchange street,c.b 2,bad,airy,long
eraina,expensive,centre,european,01223 368786,free school lane city centre,c.b 2,bad,quiet,long
curry garden,expensive,centre,asian oriental,01223 302330,106 regent street city centre,,okay,airy,long
mahal of cambridge,cheap,centre,indian,01223 360409,3 - 5 millers yard mill lane,,terrible,busy,short
golden wok,moderate,north,asian oriental,01223 350688,191 histon road chesterton,c.b 4,good,quiet,long
meghna,moderate,north,indian,01223 727410,205 victoria road chesterton,c.b 4,okay,airy,short
the nirala,moderate,north,indian,01223 360966,7 milton road chesterton,c.b 4,good,quiet,short
michaelhouse cafe,expensive,centre,european,01223 309147,st. michael's church trinity street city centre,c.b 2,excellent,airy,average
efes restaurant,moderate,centre,moroccan,01223 500005,king street city centre,c.b 1,terrible,busy,long
chiquito restaurant bar,expensive,south,european,01223 400170,2g cambridge leisure park cherry hinton road cherry hinton,c.b 1,excellent,airy,average
caffe uno,expensive,centre,italian,01223 448620,32 bridge street city centre,,good,quiet,average
j restaurant,cheap,south,japanese,01223 307581,86 regent street city centre,c.b 2,terrible,airy,average
la margherita,cheap,south,italian,01223 315232,15 magdalene street city centre,c.b 3,bad,busy,long
cocum,expensive,east,gastropub,01223 366668,71 castle street city centre,c.b 3,good,airy,average
city stop restaurant,expensive,north,tuscan,01223 363270,cambridge city football club milton road chesterton,,okay,busy,short
sala thong,cheap,west,thai,01223 323178,35 newnham road newnham,c.b 3,bad,quiet,average
don pasquale pizzeria,expensive,south,european,01223 350106,12 market hill city centre,,excellent,quiet,average
little seoul,expensive,centre,korean,01223 308681,108 regent street city centre,c.b 2,okay,airy,average
rice house,cheap,south,chinese,01223 367755,88 mill road city centre,,okay,quiet,average
the river bar steakhouse and grill,cheap,centre,modern european,01223 307030,quayside off bridge street,c.b 5,okay,busy,short
nandos city centre,cheap,centre,portuguese,01223 327908,33-34 saint andrews street,c.b 2,bad,quiet,short
prezzo,moderate,west,italian,01799 521260,21 - 24 northampton road,c.b 3,bad,quiet,short
galleria,moderate,centre,european,01223 362054,33 bridge street,c.b 2,bad,busy,average
bloomsbury restaurant,moderate,north,international,0871 942 9180,crowne plaza hotel 20 downing street,c.b 2,excellent,quiet,average
the good luck chinese food takeaway,expensive,south,chinese,01223 244149,82 cherry hinton road cherry hinton,c.b 1,bad,airy,long
the varsity restaurant,moderate,centre,international,01223 356060,35 saint andrews street city centre,c.b 2,good,quiet,long
de luca cucina and bar,moderate,centre,modern european,01223 356666,83 regent street,c.b 2,excellent,airy,long
da vinci pizzeria,cheap,north,traditional,01223 351707,20 milton road chesterton,c.b 4,good,busy,long
shiraz restaurant,expensive,centre,persian,01223 307581,84 regent street city centre,c.b 2,excellent,busy,average
the lucky star,cheap,south,chinese,01223 244277,cambridge leisure park clifton way cherry hinton,c.b 1,good,busy,average
royal spice,cheap,north,indian,01733 553355,victoria avenue chesterton,c.b 4,okay,busy,short
