StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1.1,Q2.1_1,Q3.1,Q4.1,Q5.1,Q7.1_1,Q7.1_2,Q7.1_3,Q7.2_1,Q7.2_2,Q7.2_3,Q7.3_1,Q7.3_2,Q7.3_3,Q8.2_1,Q8.3,Q8.4_1,Q8.5_1
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"Dear participant, Thank you for your interest in participating in this experiment. The expected duration of this experiment is around 15 minutes. 



It is important to know that all data that we collect will be anonymous and confidential, and you will not be identifiable in any report, thesis or publication that arises from this study. If the dataset will be published as part of scientific communications this will be done in an anonymized fashion. We will kindly ask your permission to use your data for research purposes. You are free to decline this request, of course, but you can't finish the experiment.



By checking the checkbox and proceeding to the next page, I confirm that: 

	 I have read and understood the information provided to me for this study 
	I understand that my participation is voluntary and that I am free to withdraw at any time, without giving a reason, without my medical care or legal rights being affected
	I understand that the research data will be archived in a completely anonymous way in an online database and/or data repository and/or published as supplementary material to a scientific article and may be accessed by other researchers as well as the general public
	I understand that the anonymized research data can be used in future projects on similar or different topics to this study and potential results can be published in other scientific publications. At all times, my personal data will be kept anonymized in accordance with data protection guidelines","This experiment consists of 3 rounds. In each round, you will be given a prompt about a situation yo - Participant number","Round 1

Your prompt for this round: You live in the south part of Cambridge and you have a limited amount of money. You would like however to take out your children to eat at an Asian restaurant. If you need to travel a bit to get there, that's OK.

Now switch to the recommendation system to pick the right restaurant for your family. Once you have completed your dialogue with the system, switch back to the survey, ask your supervisor to restart the conversation and proceed to the next page.","Round 2

Your prompt for this round: You are relatively wealthy and you prefer expensive restaurants. You are taking your partner out on a romantic date, and you are both in the mood to eat Mediterranean food.

Now switch to the recommendation system to pick the right restaurant for you and your date. Once you have completed your dialogue with the system, switch back to the survey, ask your supervisor to restart the conversation and proceed to the next page.","Round 3

Your prompt for this round: You live in the city center of Cambridge, and you don't care about how much your meal costs. You would like to find a busy Halal restaurant nearby where you would probably need to book specific seats in advance.

Now switch to the recommendation system to pick the right restaurant for your upcoming dinner. Once you have completed your dialogue with the system, switch back to the survey, ask your supervisor to restart the conversation and proceed to the next page.","The following questions refer to your experience in Round 1. As a reminder, in Round 1 you followed the following prompt: ""You live in the south part of Cambridge and you have a limited amount of money. You would like however to take out your children to eat at an Asian restaurant."" How did you feel about your interaction with the recommendation system in Round 1? - I was satisfied with the recommendation process","The following questions refer to your experience in Round 1. As a reminder, in Round 1 you followed the following prompt: ""You live in the south part of Cambridge and you have a limited amount of money. You would like however to take out your children to eat at an Asian restaurant."" How did you feel about your interaction with the recommendation system in Round 1? - As the person in the prompt, I was satisfied with the final restaurant choice","The following questions refer to your experience in Round 1. As a reminder, in Round 1 you followed the following prompt: ""You live in the south part of Cambridge and you have a limited amount of money. You would like however to take out your children to eat at an Asian restaurant."" How did you feel about your interaction with the recommendation system in Round 1? - I felt overwhelmed by the recommendation process","The following questions refer to your experience in Round 2. As a reminder, in Round 2 you followed the following prompt: ""You live in the city center of Cambridge. You are relatively wealthy and you prefer expensive restaurants. You are taking your partner out on a romantic date, and you are both in the mood to eat Mediterranean food."" How did you feel about your interaction with the recommendation system in Round 2? - I was satisfied with the recommendation process","The following questions refer to your experience in Round 2. As a reminder, in Round 2 you followed the following prompt: ""You live in the city center of Cambridge. You are relatively wealthy and you prefer expensive restaurants. You are taking your partner out on a romantic date, and you are both in the mood to eat Mediterranean food."" How did you feel about your interaction with the recommendation system in Round 2? - As the person in the prompt, I was satisfied with the final restaurant choice","The following questions refer to your experience in Round 2. As a reminder, in Round 2 you followed the following prompt: ""You live in the city center of Cambridge. You are relatively wealthy and you prefer expensive restaurants. You are taking your partner out on a romantic date, and you are both in the mood to eat Mediterranean food."" How did you feel about your interaction with the recommendation system in Round 2? - I felt overwhelmed by the recommendation process","The following questions refer to your experience in Round 3. As a reminder, in Round 3 you followed the following prompt: ""You live in the city center of Cambridge, and you don't care about how much your meal costs. You would like to find a busy Halal restaurant nearby where you would probably need to book seats in advance."" How did you feel about your interaction with the recommendation system in Round 3? - I was satisfied with the recommendation process","The following questions refer to your experience in Round 3. As a reminder, in Round 3 you followed the following prompt: ""You live in the city center of Cambridge, and you don't care about how much your meal costs. You would like to find a busy Halal restaurant nearby where you would probably need to book seats in advance."" How did you feel about your interaction with the recommendation system in Round 3? - As the person in the prompt, I was satisfied with the final restaurant choice","The following questions refer to your experience in Round 3. As a reminder, in Round 3 you followed the following prompt: ""You live in the city center of Cambridge, and you don't care about how much your meal costs. You would like to find a busy Halal restaurant nearby where you would probably need to book seats in advance."" How did you feel about your interaction with the recommendation system in Round 3? - I felt overwhelmed by the recommendation process",What is your age in years? - Age,What is your gender?,On a scale from 1 to 5... - completing this experiment in the English language was challenging,On a scale from 1 to 5... - how familiar are you with chatbots and/or Artificial Intelligence (AI) dialogue systems?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID4""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID9_1""}"
2023-10-19 07:02:34,2023-10-19 07:30:10,IP Address,100,1655,True,2023-10-19 07:30:10,R_1MWIswucoZQlytR,anonymous,EN,1,I consent,30,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,26,Male,Somewhat agree,Moderately familiar
2023-10-19 10:09:34,2023-10-19 10:37:59,IP Address,100,1705,True,2023-10-19 10:38:00,R_1QAdrUvNWZxasLA,anonymous,EN,0.8999999761581421,I consent,7,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,21,Female,Strongly disagree,Very familiar
2023-10-19 12:30:06,2023-10-19 12:45:34,IP Address,100,928,True,2023-10-19 12:45:35,R_3PGpheltpXCxg5X,anonymous,EN,1,I consent,8,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,23,Female,Somewhat disagree,Moderately familiar
2023-10-19 12:58:51,2023-10-19 13:42:53,IP Address,100,2641,True,2023-10-19 13:42:54,R_3p8PxLqxfNDKJZ9,anonymous,EN,1,I consent,8,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,22,Female,Strongly disagree,Slightly familiar
2023-10-20 03:27:39,2023-10-20 03:47:34,IP Address,100,1195,True,2023-10-20 03:47:35,R_BQy2A5YycgguQaR,anonymous,EN,1,I consent,31,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,25,Male,Strongly disagree,Moderately familiar
2023-10-20 05:01:30,2023-10-20 05:44:11,IP Address,100,2560,True,2023-10-20 05:44:12,R_6xMJ5y2OdlRMrrr,anonymous,EN,0.8999999761581421,I consent,32,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,22,Male,Strongly disagree,Slightly familiar
2023-10-20 05:44:36,2023-10-20 06:49:51,IP Address,100,3914,True,2023-10-20 06:49:52,R_27BG5Pg3eR5LFTP,anonymous,EN,0.8999999761581421,I consent,33,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,20,Other,Somewhat disagree,Slightly familiar
2023-10-20 06:50:17,2023-10-20 07:12:08,IP Address,100,1310,True,2023-10-20 07:12:08,R_3LZjKqX0tpLY1eb,anonymous,EN,0.8999999761581421,I consent,34,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,25,Female,Strongly disagree,Moderately familiar
